Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	11	10	0.091052	0.5525	37.8	1578800	13590000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.978	7.558	7.558	169.1	162.2	3.132	0	3.132	0	0	0	0		NaN	NaN	652022.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	12	11	0.10026	0.54686	38.406	1586700	13488000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.983	7.553	7.553	169	162.2	3.126	0	3.126	0	0	0	0		NaN	NaN	662638.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	13	12	0.10937	0.53549	37.785	1538100	13504000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.988	7.549	7.549	169	162.1	3.121	0	3.121	0	0	0	0		NaN	NaN	638653.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	14	13	0.1183	0.55596	37.348	1616000	13863000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.993	7.544	7.544	168.9	162.1	3.116	0	3.116	0	0	0	0		NaN	NaN	649484.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	15	14	0.12756	0.54521	37.655	1598700	13787000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.999	7.539	7.539	168.9	162.1	3.11	0	3.11	0	0	0	0		NaN	NaN	656116.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	16	15	0.13665	0.53014	38.204	1557800	13167000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.004	7.534	7.534	168.8	162	3.105	0	3.105	0	0	0	0		NaN	NaN	635676.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	17	16	0.14549	0.53843	37.287	1558900	14086000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.009	7.529	7.529	168.8	162	3.1	0	3.1	0	0	0	0		NaN	NaN	657532.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	18	17	0.15446	0.54525	34.48	1575800	14838000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.014	7.524	7.524	168.7	161.9	3.095	0	3.095	0	0	0	0		NaN	NaN	641000.2	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	19	18	0.16355	0.55163	30.218	1622300	17165000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.019	7.52	7.52	168.6	161.9	3.089	0	3.089	0	0	0	0		NaN	NaN	648668.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	20	19	0.17274	0.5366	27.138	1763500	19535000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.024	7.515	7.515	168.6	161.9	3.084	0	3.084	0	0	0	0		NaN	NaN	660788.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	21	20	0.18169	0.53719	26.412	1772700	19289000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.029	7.51	7.51	168.5	161.8	3.079	0	3.079	0	0	0	0		NaN	NaN	646711.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	22	21	0.19064	0.55963	27.506	1782500	18734000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.034	7.505	7.505	168.5	161.8	3.074	0	3.074	0	0	0	0		NaN	NaN	651891.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	23	22	0.19997	0.54186	30.269	1779600	16707000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.039	7.5	7.5	168.4	161.7	3.068	0	3.068	0	0	0	0		NaN	NaN	635458.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	24	23	0.209	0.52382	31.958	1762300	15545000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.044	7.495	7.495	168.3	161.7	3.063	0	3.063	0	0	0	0		NaN	NaN	629661.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	25	24	0.21773	0.54023	34.711	1684700	14448000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.049	7.491	7.491	168.3	161.7	3.058	0	3.058	0	0	0	0		NaN	NaN	633332.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	26	25	0.22673	0.53289	36.411	1724400	14077000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.054	7.486	7.486	168.2	161.6	3.052	0	3.052	0	0	0	0		NaN	NaN	643469.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	27	26	0.23561	0.5293	36.992	1667000	13727000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.059	7.481	7.481	168.2	161.6	3.047	0	3.047	0	0	0	0		NaN	NaN	636382.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	28	27	0.24443	0.53465	37.299	1650600	13558000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.064	7.476	7.476	168.1	161.5	3.042	0	3.042	0	0	0	0		NaN	NaN	641854.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	29	28	0.25335	0.54748	37.53	1686200	13582000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.069	7.472	7.472	168.1	161.5	3.037	0	3.037	0	0	0	0		NaN	NaN	644278.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	30	29	0.26247	0.53635	38.807	1646900	13873000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.074	7.467	7.467	168	161.5	3.032	0	3.032	0	0	0	0		NaN	NaN	681482	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	31	30	0.27141	0.53744	39.004	1631700	13336000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.079	7.462	7.462	167.9	161.4	3.026	0	3.026	0	0	0	0		NaN	NaN	654197.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	32	31	0.28037	0.53765	38.664	1612200	13067000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.084	7.457	7.457	167.9	161.4	3.021	0	3.021	0	0	0	0		NaN	NaN	638453.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	33	32	0.28933	0.54057	38.782	1667000	13396000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.089	7.452	7.452	167.8	161.3	3.016	0	3.016	0	0	0	0		NaN	NaN	654024.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	34	33	0.29834	0.53609	38.176	1634700	13571000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.094	7.448	7.448	167.8	161.3	3.011	0	3.011	0	0	0	0		NaN	NaN	652065.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	35	34	0.30727	0.54174	38.908	1632100	13530000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.099	7.443	7.443	167.7	161.3	3.005	0	3.005	0	0	0	0		NaN	NaN	666795.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	36	35	0.3163	0.53811	38.737	1600700	13685000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.104	7.438	7.438	167.7	161.2	3	0	3	0	0	0	0		NaN	NaN	661335.2	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	37	36	0.32527	0.54406	38.513	1649500	13470000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.109	7.433	7.433	167.6	161.2	2.995	0	2.995	0	0	0	0		NaN	NaN	657154.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	38	37	0.33434	0.5473	38.176	1638000	13623000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.114	7.428	7.428	167.5	161.1	2.99	0	2.99	0	0	0	0		NaN	NaN	655344.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	39	38	0.34346	0.54296	38.864	1614600	13915000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.119	7.424	7.424	167.5	161.1	2.984	0	2.984	0	0	0	0		NaN	NaN	691972.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	40	39	0.35251	0.73522	38.964	1624500	13609000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.124	7.419	7.419	167.4	161.1	2.979	0	2.979	0	0	0	0		NaN	NaN	670077.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	41	40	0.36476	0.54348	38.956	1582000	13181000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.131	7.412	7.412	167.4	161	2.972	0	2.972	0	0	0	0		NaN	NaN	645574.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	42	41	0.37382	0.53119	39.218	1627800	13407000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.136	7.407	7.407	167.3	161	2.967	0	2.967	0	0	0	0		NaN	NaN	667319.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	43	42	0.38267	0.54075	38.612	1654200	13716000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.141	7.403	7.403	167.2	160.9	2.961	0	2.961	0	0	0	0		NaN	NaN	668206.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	44	43	0.39169	0.53585	38.861	1615500	13369000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.146	7.398	7.398	167.2	160.9	2.956	0	2.956	0	0	0	0		NaN	NaN	654911.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	45	44	0.40062	0.54759	39.243	1582400	13125000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.151	7.393	7.393	167.1	160.8	2.951	0	2.951	0	0	0	0		NaN	NaN	656798.2	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	46	45	0.40974	0.53562	39.285	1590400	13536000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.156	7.388	7.388	167.1	160.8	2.946	0	2.946	0	0	0	0		NaN	NaN	668492.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	47	46	0.41867	0.52769	39.809	1640500	13502000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.161	7.383	7.383	167	160.8	2.94	0	2.94	0	0	0	0		NaN	NaN	669562.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	48	47	0.42746	0.53412	38.288	1593800	13174000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.166	7.379	7.379	167	160.7	2.935	0	2.935	0	0	0	0		NaN	NaN	628463.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	49	48	0.43637	0.52812	39.248	1630600	13808000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.171	7.374	7.374	166.9	160.7	2.93	0	2.93	0	0	0	0		NaN	NaN	679917.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	50	49	0.44517	0.52357	39.059	1603800	13446000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.176	7.369	7.369	166.8	160.6	2.925	0	2.925	0	0	0	0		NaN	NaN	661435.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	51	50	0.45389	0.68274	39.306	1536600	13140000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.18	7.371	7.371	166.8	160.6	2.921	0	2.921	0	0	0	0		NaN	NaN	656361.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	52	51	0.46527	0.52294	39.8	1571200	12992000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.183	7.384	7.384	166.9	160.7	2.919	0	2.919	0	0	0	0		NaN	NaN	652345.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	53	52	0.47399	0.54049	39	1580100	13432000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.185	7.394	7.394	166.9	160.8	2.917	0	2.917	0	0	0	0		NaN	NaN	659008.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	54	53	0.483	0.53127	39.546	1573500	13150000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.187	7.404	7.404	167	160.8	2.916	0	2.916	0	0	0	0		NaN	NaN	653501.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	55	54	0.49185	0.5288	38.736	1612800	13244000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.19	7.414	7.414	167.1	160.9	2.914	0	2.914	0	0	0	0		NaN	NaN	644018.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	56	55	0.50067	0.53837	39.62	1612000	13335000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.192	7.424	7.424	167.1	160.9	2.912	0	2.912	0	0	0	0		NaN	NaN	671271.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	57	56	0.50964	0.53851	39.155	1600600	13464000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.194	7.434	7.434	167.2	161	2.91	0	2.91	0	0	0	0		NaN	NaN	667243	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	58	57	0.51861	0.53582	38.715	1585300	13570000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.197	7.444	7.444	167.2	161.1	2.908	0	2.908	0	0	0	0		NaN	NaN	668505.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	59	58	0.52754	0.53823	39.555	1598600	13249000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.199	7.454	7.454	167.3	161.1	2.906	0	2.906	0	0	0	0		NaN	NaN	662202	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	60	59	0.53651	0.52926	39.544	1568800	13181000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.202	7.464	7.464	167.3	161.2	2.905	0	2.905	0	0	0	0		NaN	NaN	657809.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	61	60	0.54533	0.52456	39.656	1559400	13253000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.204	7.474	7.474	167.4	161.2	2.903	0	2.903	0	0	0	0		NaN	NaN	662689.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	62	61	0.55408	0.54003	39.699	1582300	13291000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.206	7.484	7.484	167.4	161.3	2.901	0	2.901	0	0	0	0		NaN	NaN	659945.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	63	62	0.56308	0.53198	38.737	1569600	13294000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.209	7.494	7.494	167.5	161.3	2.899	0	2.899	0	0	0	0		NaN	NaN	652835.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	64	63	0.57194	0.52993	40.293	1553000	12971000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.211	7.504	7.504	167.5	161.4	2.897	0	2.897	0	0	0	0		NaN	NaN	655552.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	65	64	0.58078	0.53936	39.34	1542400	13166000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.213	7.514	7.514	167.6	161.5	2.896	0	2.896	0	0	0	0		NaN	NaN	652642.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	66	65	0.58977	0.53252	40.382	1539300	12981000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.216	7.524	7.524	167.6	161.5	2.894	0	2.894	0	0	0	0		NaN	NaN	662224.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	67	66	0.59864	0.52094	39.426	1582700	12877000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.218	7.534	7.534	167.7	161.6	2.892	0	2.892	0	0	0	0		NaN	NaN	645068.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	68	67	0.60732	0.5406	39.515	1601800	13244000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.22	7.544	7.544	167.7	161.6	2.89	0	2.89	0	0	0	0		NaN	NaN	657971.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	69	68	0.61633	0.75835	40.145	1568600	13270000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.223	7.554	7.554	167.8	161.7	2.888	0	2.888	0	0	0	0		NaN	NaN	670798.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	70	69	0.62897	0.53947	40.335	1576000	13475000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.226	7.568	7.568	167.8	161.8	2.886	0	2.886	0	0	0	0		NaN	NaN	685197	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	71	70	0.63796	0.54301	39.382	1570200	12697000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.229	7.578	7.578	167.9	161.8	2.884	0	2.884	0	0	0	0		NaN	NaN	633880.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	72	71	0.64701	0.53959	39.094	1593700	13314000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.231	7.588	7.588	168	161.9	2.882	0	2.882	0	0	0	0		NaN	NaN	663051.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	73	72	0.65601	0.54058	40.252	1537000	13062000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.233	7.598	7.598	168	161.9	2.88	0	2.88	0	0	0	0		NaN	NaN	663236.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	74	73	0.66502	0.7386	38.773	1597900	13270000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.236	7.608	7.608	168.1	162	2.878	0	2.878	0	0	0	0		NaN	NaN	654009.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	75	74	0.67733	0.54485	38.753	1572600	13264000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.239	7.622	7.622	168.1	162.1	2.876	0	2.876	0	0	0	0		NaN	NaN	645815.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	76	75	0.68641	0.53201	38.241	1635400	13568000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.242	7.632	7.632	168.2	162.1	2.874	0	2.874	0	0	0	0		NaN	NaN	647387	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	77	76	0.69527	0.52605	39.656	1579300	13438000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.244	7.642	7.642	168.2	162.2	2.872	0	2.872	0	0	0	0		NaN	NaN	669490.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	78	77	0.70404	0.53215	39.021	1581900	13076000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.246	7.652	7.652	168.3	162.2	2.87	0	2.87	0	0	0	0		NaN	NaN	649542.7	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	79	78	0.71291	0.52149	38.436	1603400	13264000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.249	7.662	7.662	168.3	162.3	2.869	0	2.869	0	0	0	0		NaN	NaN	639611.2	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	80	79	0.7216	0.5417	39.176	1579500	13196000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.251	7.672	7.672	168.4	162.3	2.867	0	2.867	0	0	0	0		NaN	NaN	651033	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	81	80	0.73063	0.53272	39.849	1555300	13194000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.253	7.682	7.682	168.4	162.4	2.865	0	2.865	0	0	0	0		NaN	NaN	671545	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	82	81	0.73951	0.52613	38.708	1608300	13335000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.256	7.692	7.692	168.5	162.5	2.863	0	2.863	0	0	0	0		NaN	NaN	654039.2	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	83	82	0.74828	0.5392	38.682	1584900	13413000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.258	7.702	7.702	168.5	162.5	2.861	0	2.861	0	0	0	0		NaN	NaN	662708.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	84	83	0.75726	0.53909	39.164	1616800	12997000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.258	7.704	7.704	168.6	162.5	2.862	0	2.862	0	0	0	0		NaN	NaN	642545.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	85	84	0.76625	0.52689	39.578	1566400	13059000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.258	7.703	7.703	168.6	162.6	2.863	0	2.863	0	0	0	0		NaN	NaN	648219.3	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	86	85	0.77503	0.53632	38.649	1583300	13018000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.259	7.703	7.703	168.6	162.6	2.865	0	2.865	0	0	0	0		NaN	NaN	640465.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	87	86	0.78397	0.54084	38.262	1557100	13229000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	4.259	7.702	7.702	168.6	162.6	2.866	0	2.866	0	0	0	0		NaN	NaN	647635.8	NaN
